timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
616770.960563,19.685692,13.163550,157.878845,4.953947,13.521544,154.605087,616770.960536,616770.919026,0,1733,1,11.686367,12.094255,165.146484,-0.182283,-0.073539,-0.004584
616770.989740,19.693932,13.129009,157.883942,4.987298,13.622600,154.602432,616770.989714,616770.935700,0,1734,1,11.820686,12.249458,165.171280,-0.195674,-0.058795,-0.011981
616771.004971,19.754803,13.112208,157.901184,5.061610,13.612614,154.616623,616771.004943,616770.952373,0,1735,1,11.773604,12.063292,165.156052,-0.176254,-0.071496,-0.013940
616771.018154,19.703884,13.138146,157.885727,4.914187,13.478986,154.601624,616771.018129,616770.969047,0,1736,1,11.680147,11.973375,165.135910,-0.172543,-0.073171,-0.004257
616771.031222,19.627058,13.063526,157.872177,4.828733,13.494742,154.585022,616771.031199,616770.985720,0,1737,1,11.513606,11.934605,165.112976,-0.171442,-0.082376,-0.006700
616771.042980,19.667698,13.050935,157.883804,4.807631,13.582966,154.573715,616771.042951,616771.002394,0,1738,1,11.511217,12.151240,165.137390,-0.191276,-0.082330,-0.012306
616771.069775,19.630589,13.044623,157.874710,4.744153,13.494694,154.569962,616771.069748,616771.019068,0,1739,1,11.419022,11.933533,165.103485,-0.172283,-0.087853,-0.009672
616771.085565,19.566801,13.039081,157.858673,4.826554,13.521507,154.582352,616771.085455,616771.035720,0,1740,1,11.458787,11.983720,165.110062,-0.176657,-0.084002,-0.011068
616771.101403,19.588999,13.074778,157.861374,4.724587,13.490388,154.566864,616771.101371,616771.052387,0,1741,1,11.506470,11.913835,165.099701,-0.168676,-0.074922,-0.007301
616771.118893,19.506651,13.068208,157.840622,4.792899,13.487723,154.579239,616771.118868,616771.069054,0,1742,1,11.435474,11.850341,165.081329,-0.162059,-0.082179,-0.007815
