timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
2596512.173301,2.093518,12.164099,59.629883,-4.458070,12.031864,59.774960,2596512.168678,2596512.136084,0,9268,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.176718,2.093518,12.164100,59.629807,-4.458070,12.031864,59.774887,2596512.172054,2596512.136084,0,9269,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.181869,2.093518,12.164100,59.629730,-4.458070,12.031865,59.774811,2596512.177291,2596512.136084,0,9270,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.186066,2.093518,12.164100,59.629654,-4.458070,12.031865,59.774731,2596512.181270,2596512.136084,0,9271,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.189895,2.093518,12.164100,59.629574,-4.458070,12.031865,59.774654,2596512.185270,2596512.136084,0,9272,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.193900,2.093459,12.165161,59.627316,-4.458013,12.030805,59.776772,2596512.189316,2596512.152751,0,9273,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.198964,2.093459,12.165161,59.627254,-4.458013,12.030805,59.776711,2596512.194281,2596512.152751,0,9274,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.203000,2.093459,12.165161,59.627205,-4.458013,12.030805,59.776661,2596512.198275,2596512.152751,0,9275,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.206989,2.093302,12.165801,59.625923,-4.457856,12.030165,59.777863,2596512.202350,2596512.169418,0,9276,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.210837,2.093302,12.165801,59.625900,-4.457856,12.030165,59.777836,2596512.206192,2596512.169418,0,9277,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.214103,2.093302,12.165801,59.625885,-4.457856,12.030165,59.777824,2596512.209509,2596512.169418,0,9278,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.218925,2.093302,12.165801,59.625885,-4.457856,12.030165,59.777824,2596512.214271,2596512.169418,0,9279,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.223893,2.093302,12.165801,59.625900,-4.457856,12.030165,59.777836,2596512.219243,2596512.169418,0,9280,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.227099,2.093302,12.165801,59.625927,-4.457856,12.030165,59.777866,2596512.222551,2596512.169418,0,9281,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.231969,2.093302,12.165801,59.625969,-4.457856,12.030165,59.777905,2596512.227299,2596512.169418,0,9282,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.235854,2.093302,12.165801,59.626022,-4.457855,12.030165,59.777962,2596512.231237,2596512.169418,0,9283,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.239090,2.093113,12.165677,59.625099,-4.457665,12.030289,59.779015,2596512.234514,2596512.186084,0,9284,1,-1.141700,9.083805,68.186020,0.002665,0.027469,0.030746
2596512.243428,2.093113,12.165676,59.625175,-4.457665,12.030289,59.779087,2596512.238787,2596512.186084,0,9285,1,-1.141700,9.083805,68.186020,0.002665,0.027469,0.030746
2596512.248213,2.093113,12.165676,59.625259,-4.457665,12.030288,59.779171,2596512.243604,2596512.186084,0,9286,1,-1.141700,9.083805,68.186020,0.002665,0.027469,0.030746
2596512.252262,2.093134,12.165396,59.622498,-4.457687,12.030568,59.782112,2596512.247653,2596512.203367,0,9287,1,-1.174798,9.037316,68.172485,0.008228,0.023640,0.031066
2596512.256490,2.093134,12.165396,59.622593,-4.457687,12.030568,59.782211,2596512.251919,2596512.203367,0,9288,1,-1.174798,9.037316,68.172485,0.008228,0.023640,0.031066
2596512.261573,2.093134,12.165396,59.622700,-4.457687,12.030567,59.782314,2596512.256874,2596512.203367,0,9289,1,-1.174798,9.037316,68.172485,0.008228,0.023640,0.031066
2596512.265523,2.093135,12.165396,59.622810,-4.457687,12.030567,59.782425,2596512.260852,2596512.203367,0,9290,1,-1.174798,9.037316,68.172485,0.008228,0.023640,0.031066
2596512.269529,2.093231,12.165583,59.620850,-4.457783,12.030379,59.784618,2596512.264874,2596512.220041,0,9291,1,-1.182398,9.020880,68.172295,0.009967,0.024135,0.027180
2596512.272741,2.093231,12.165583,59.620975,-4.457782,12.030378,59.784744,2596512.268186,2596512.220041,0,9292,1,-1.182398,9.020880,68.172295,0.009967,0.024135,0.027180
2596512.277430,2.093231,12.165583,59.621109,-4.457782,12.030378,59.784878,2596512.272698,2596512.220041,0,9293,1,-1.182398,9.020880,68.172295,0.009967,0.024135,0.027180
2596512.281497,2.093231,12.165582,59.621250,-4.457782,12.030378,59.785019,2596512.276691,2596512.220041,0,9294,1,-1.182398,9.020880,68.172295,0.009967,0.024135,0.027180
2596512.286275,2.093404,12.165352,59.619476,-4.457953,12.030608,59.787079,2596512.281669,2596512.236714,0,9295,1,-1.139104,9.080302,68.193253,0.003019,0.028845,0.028312
2596512.290225,2.093404,12.165351,59.619625,-4.457953,12.030607,59.787228,2596512.285653,2596512.236714,0,9296,1,-1.139104,9.080302,68.193253,0.003019,0.028845,0.028312
2596512.294259,2.093404,12.165351,59.619778,-4.457953,12.030607,59.787380,2596512.289646,2596512.236714,0,9297,1,-1.139104,9.080302,68.193253,0.003019,0.028845,0.028312
2596512.298363,2.093405,12.165350,59.619938,-4.457953,12.030607,59.787540,2596512.293644,2596512.236714,0,9298,1,-1.139104,9.080302,68.193253,0.003019,0.028845,0.028312
2596512.302280,2.093655,12.165607,59.619316,-4.458204,12.030349,59.788486,2596512.297653,2596512.253388,0,9299,1,-1.101027,9.082765,68.197411,0.002897,0.031677,0.033146
2596512.307220,2.093655,12.165607,59.619480,-4.458203,12.030349,59.788651,2596512.302610,2596512.253388,0,9300,1,-1.101027,9.082765,68.197411,0.002897,0.031677,0.033146
2596512.311406,2.093656,12.165606,59.619648,-4.458203,12.030348,59.788818,2596512.306613,2596512.253388,0,9301,1,-1.101027,9.082765,68.197411,0.002897,0.031677,0.033146
2596512.315423,2.093656,12.165606,59.619820,-4.458203,12.030348,59.788990,2596512.310603,2596512.253388,0,9302,1,-1.101027,9.082765,68.197411,0.002897,0.031677,0.033146
2596512.319353,2.093656,12.165606,59.619999,-4.458203,12.030347,59.789169,2596512.314589,2596512.253388,0,9303,1,-1.101027,9.082765,68.197411,0.002897,0.031677,0.033146
2596512.323341,2.093984,12.164762,59.617844,-4.458530,12.031189,59.791695,2596512.318584,2596512.270061,0,9304,1,-1.193598,9.130959,68.233902,-0.002981,0.022912,0.027721
2596512.327236,2.093984,12.164762,59.618042,-4.458530,12.031189,59.791889,2596512.322597,2596512.270061,0,9305,1,-1.193598,9.130959,68.233902,-0.002981,0.022912,0.027721
2596512.332278,2.093984,12.164762,59.618248,-4.458529,12.031188,59.792095,2596512.327554,2596512.270061,0,9306,1,-1.193598,9.130959,68.233902,-0.002981,0.022912,0.027721
2596512.336210,2.094457,12.164541,59.616322,-4.459002,12.031408,59.794456,2596512.331573,2596512.286735,0,9307,1,-1.157245,9.018760,68.196938,0.010292,0.026789,0.028675
2596512.340320,2.094457,12.164540,59.616554,-4.459001,12.031407,59.794689,2596512.335535,2596512.286735,0,9308,1,-1.157245,9.018760,68.196938,0.010292,0.026789,0.028675
2596512.344178,2.094458,12.164539,59.616802,-4.459001,12.031407,59.794937,2596512.339515,2596512.286735,0,9309,1,-1.157245,9.018760,68.196938,0.010292,0.026789,0.028675
2596512.348211,2.094458,12.164539,59.617062,-4.459001,12.031406,59.795197,2596512.343528,2596512.286735,0,9310,1,-1.157245,9.018760,68.196938,0.010292,0.026789,0.028675
2596512.352111,2.094837,12.164245,59.616901,-4.459379,12.031699,59.795910,2596512.347523,2596512.303409,0,9311,1,-1.163722,9.032863,68.211060,0.008525,0.026751,0.026901
2596512.357178,2.094838,12.164244,59.617191,-4.459379,12.031698,59.796200,2596512.352530,2596512.303409,0,9312,1,-1.163722,9.032863,68.211060,0.008525,0.026751,0.026901
2596512.361231,2.094838,12.164244,59.617500,-4.459378,12.031698,59.796509,2596512.356520,2596512.303409,0,9313,1,-1.163722,9.032863,68.211060,0.008525,0.026751,0.026901
2596512.365113,2.095150,12.164941,59.618999,-4.459689,12.030998,59.795654,2596512.360461,2596512.320082,0,9314,1,-1.084957,9.092183,68.227036,0.001973,0.034386,0.031571
2596512.369121,2.095150,12.164940,59.619339,-4.459689,12.030998,59.795994,2596512.364448,2596512.320082,0,9315,1,-1.084957,9.092183,68.227036,0.001973,0.034386,0.031571
2596512.373076,2.095151,12.164940,59.619698,-4.459688,12.030997,59.796352,2596512.368436,2596512.320082,0,9316,1,-1.084957,9.092183,68.227036,0.001973,0.034386,0.031571
2596512.377614,2.095151,12.164939,59.620071,-4.459688,12.030996,59.796726,2596512.372941,2596512.320082,0,9317,1,-1.084957,9.092183,68.227036,0.001973,0.034386,0.031571
2596512.381496,2.095330,12.164636,59.621723,-4.459865,12.031297,59.795834,2596512.376925,2596512.336756,0,9318,1,-1.147258,9.058204,68.208191,0.005948,0.027829,0.029108
2596512.385495,2.095330,12.164636,59.622108,-4.459865,12.031296,59.796219,2596512.380914,2596512.336756,0,9319,1,-1.147258,9.058204,68.208191,0.005948,0.027829,0.029108
2596512.390496,2.095331,12.164635,59.622501,-4.459864,12.031295,59.796612,2596512.385902,2596512.336756,0,9320,1,-1.147258,9.058204,68.208191,0.005948,0.027829,0.029108
2596512.394527,2.095332,12.164634,59.622898,-4.459864,12.031294,59.797009,2596512.389894,2596512.336756,0,9321,1,-1.147258,9.058204,68.208191,0.005948,0.027829,0.029108
2596512.398433,2.095612,12.163688,59.623981,-4.460143,12.032237,59.796715,2596512.393878,2596512.353430,0,9322,1,-1.141175,9.041530,68.202850,0.008091,0.028559,0.028782
2596512.402454,2.095613,12.163687,59.624374,-4.460143,12.032236,59.797104,2596512.397899,2596512.353430,0,9323,1,-1.141175,9.041530,68.202850,0.008091,0.028559,0.028782
2596512.406493,2.095613,12.163686,59.624760,-4.460142,12.032235,59.797493,2596512.401853,2596512.353430,0,9324,1,-1.141175,9.041530,68.202850,0.008091,0.028559,0.028782
2596512.410540,2.095614,12.163685,59.625141,-4.460142,12.032234,59.797874,2596512.405849,2596512.353430,0,9325,1,-1.141175,9.041530,68.202850,0.008091,0.028559,0.028782
2596512.415404,2.095963,12.162767,59.626171,-4.460490,12.033151,59.797588,2596512.410828,2596512.370103,0,9326,1,-1.166503,8.951914,68.169662,0.018690,0.025604,0.027877
2596512.419429,2.095963,12.162766,59.626534,-4.460489,12.033150,59.797947,2596512.414816,2596512.370103,0,9327,1,-1.166503,8.951914,68.169662,0.018690,0.025604,0.027877
2596512.423803,2.095964,12.162766,59.626881,-4.460489,12.033149,59.798294,2596512.418816,2596512.370103,0,9328,1,-1.166503,8.951914,68.169662,0.018690,0.025604,0.027877
2596512.427462,2.095964,12.162765,59.627216,-4.460488,12.033148,59.798634,2596512.422803,2596512.370103,0,9329,1,-1.166503,8.951914,68.169662,0.018690,0.025604,0.027877
2596512.431479,2.096421,12.163177,59.627964,-4.460945,12.032734,59.798546,2596512.426793,2596512.386777,0,9330,1,-1.176907,9.063456,68.222382,0.005497,0.024764,0.026500
2596512.435723,2.096421,12.163177,59.628281,-4.460944,12.032733,59.798866,2596512.430811,2596512.386777,0,9331,1,-1.176907,9.063456,68.222382,0.005497,0.024764,0.026500
2596512.439404,2.096422,12.163176,59.628593,-4.460944,12.032732,59.799175,2596512.434767,2596512.386777,0,9332,1,-1.176907,9.063456,68.222382,0.005497,0.024764,0.026500
2596512.444541,2.096422,12.163175,59.628895,-4.460943,12.032732,59.799480,2596512.439763,2596512.386777,0,9333,1,-1.176907,9.063456,68.222382,0.005497,0.024764,0.026500
2596512.448436,2.096669,12.163302,59.630405,-4.461189,12.032602,59.798573,2596512.443747,2596512.403450,0,9334,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.452358,2.096670,12.163302,59.630711,-4.461189,12.032601,59.798878,2596512.447732,2596512.403450,0,9335,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.456474,2.096670,12.163301,59.631016,-4.461189,12.032600,59.799183,2596512.451730,2596512.403450,0,9336,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.460419,2.096670,12.163301,59.631321,-4.461188,12.032599,59.799488,2596512.455716,2596512.403450,0,9337,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.465272,2.096671,12.163300,59.631626,-4.461188,12.032599,59.799789,2596512.460695,2596512.403450,0,9338,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.469331,2.096671,12.163300,59.631927,-4.461187,12.032598,59.800095,2596512.464688,2596512.403450,0,9339,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.473327,2.096672,12.163299,59.632233,-4.461187,12.032598,59.800400,2596512.468678,2596512.403450,0,9340,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.477739,2.096672,12.163298,59.632534,-4.461186,12.032597,59.800701,2596512.473173,2596512.403450,0,9341,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.481746,2.096673,12.163297,59.632835,-4.461186,12.032597,59.801003,2596512.477164,2596512.403450,0,9342,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.485399,2.096673,12.163296,59.633133,-4.461186,12.032596,59.801300,2596512.480818,2596512.403450,0,9343,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.490443,2.096673,12.163296,59.633434,-4.461185,12.032595,59.801598,2596512.485805,2596512.403450,0,9344,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.494330,2.096674,12.163295,59.633728,-4.461185,12.032594,59.801895,2596512.489759,2596512.403450,0,9345,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.498335,2.096674,12.163294,59.634022,-4.461185,12.032594,59.802189,2596512.493756,2596512.403450,0,9346,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.502459,2.096674,12.163293,59.634312,-4.461184,12.032593,59.802479,2596512.497820,2596512.403450,0,9347,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.506502,2.096675,12.163293,59.634602,-4.461184,12.032592,59.802765,2596512.501809,2596512.403450,0,9348,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.510446,2.096675,12.163292,59.634884,-4.461184,12.032591,59.803051,2596512.505793,2596512.403450,0,9349,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.515375,2.096676,12.163291,59.635166,-4.461183,12.032591,59.803333,2596512.510811,2596512.403450,0,9350,1,-1.169162,9.072387,68.237946,0.004510,0.025560,0.026195
2596512.519482,2.096704,12.162109,59.636101,-4.461210,12.033771,59.802956,2596512.514776,2596512.470145,0,9351,1,-1.110121,9.098893,68.230156,0.002149,0.030527,0.025678
2596512.523450,2.096704,12.162109,59.636375,-4.461210,12.033770,59.803230,2596512.518765,2596512.470145,0,9352,1,-1.110121,9.098893,68.230156,0.002149,0.030527,0.025678
2596512.527325,2.096673,12.161625,59.637768,-4.461178,12.034252,59.802383,2596512.522747,2596512.486818,0,9353,1,-1.120947,9.076241,68.223106,0.004994,0.027669,0.027723
