timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
2596512.173303,-7.709540,-1.871981,59.802185,-1.157667,-1.744979,59.938820,2596512.213038,2596512.136084,0,9268,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.176719,-7.708765,-1.875503,59.802742,-1.156892,-1.748501,59.939373,2596512.216414,2596512.136084,0,9269,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.181871,-7.707936,-1.878791,59.803242,-1.156063,-1.751788,59.939873,2596512.221651,2596512.136084,0,9270,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.186070,-7.707086,-1.881845,59.803688,-1.155213,-1.754842,59.940323,2596512.225630,2596512.136084,0,9271,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.189896,-7.706213,-1.884692,59.804092,-1.154340,-1.757690,59.940727,2596512.229631,2596512.136084,0,9272,1,-1.196614,8.989711,68.148766,0.013613,0.021754,0.027598
2596512.193902,-7.703802,-1.892002,59.802998,-1.152038,-1.762889,59.944016,2596512.233676,2596512.152751,0,9273,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.198967,-7.701389,-1.898092,59.803986,-1.149625,-1.768979,59.945004,2596512.238641,2596512.152751,0,9274,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.203003,-7.698975,-1.903960,59.804874,-1.147210,-1.774847,59.945892,2596512.242635,2596512.152751,0,9275,1,-1.167147,9.057236,68.179611,0.005745,0.025164,0.028411
2596512.206990,-7.701659,-1.908739,59.804447,-1.150205,-1.778352,59.947948,2596512.246710,2596512.169418,0,9276,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
2596512.210839,-7.704345,-1.912726,59.805180,-1.152891,-1.782339,59.948681,2596512.250552,2596512.169418,0,9277,1,-1.138817,9.134793,68.206581,-0.003382,0.027929,0.030174
