timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
14369.759475,-4.913803,1.267747,59.729065,1.515959,1.312757,59.227139,14369.759474,14369.720996,0,3737,1,-1.853149,3.980030,68.079857,0.036149,-0.014240,0.011404
14369.773969,-4.913408,1.251678,59.765133,1.516909,1.321890,59.244892,14369.773969,14369.737677,0,3738,1,-1.956076,4.165645,68.044075,0.014309,-0.023089,0.020777
14369.790914,-4.917270,1.256959,59.768940,1.511111,1.312605,59.189838,14369.790912,14369.754357,0,3739,1,-1.835821,3.900043,68.105141,0.045075,-0.011781,0.011336
14369.806073,-4.917565,1.222648,59.790157,1.510345,1.305532,59.171192,14369.806072,14369.771038,0,3740,1,-1.931458,3.992176,68.075890,0.034260,-0.022345,0.012799
14369.821720,-4.920667,1.229291,59.840878,1.510875,1.304948,59.176910,14369.821719,14369.787718,0,3741,1,-1.848791,3.979585,68.109863,0.035794,-0.012980,0.011452
14369.838091,-4.922048,1.247120,59.849697,1.509696,1.319396,59.184582,14369.838091,14369.804399,0,3742,1,-1.998989,4.165381,68.054062,0.014061,-0.030163,0.012181
14369.853755,-4.925280,1.239613,59.869270,1.508468,1.344100,59.193623,14369.853754,14369.821080,0,3743,1,-1.914991,4.062215,68.105858,0.026507,-0.020317,0.011490
14369.870991,-4.924594,1.245227,59.866833,1.505581,1.302621,59.133320,14369.870989,14369.837760,0,3744,1,-1.906932,3.930001,68.116714,0.041949,-0.016853,0.018761
14369.885730,-4.926248,1.287337,59.861145,1.499803,1.364294,59.103462,14369.885729,14369.854441,0,3745,1,-1.954833,3.975911,68.083641,0.036631,-0.023120,0.015614
14369.903002,-4.927713,1.257538,59.840961,1.501027,1.310795,59.088295,14369.903000,14369.871121,0,3746,1,-1.867029,3.843719,68.108513,0.052171,-0.012561,0.016523
14369.918158,-4.926275,1.247511,59.786110,1.504861,1.309532,59.106617,14369.918158,14369.887802,0,3747,1,-1.942229,4.019082,68.035042,0.031842,-0.021625,0.016276
14369.933855,-4.924768,1.248566,59.777107,1.502554,1.340640,59.083637,14369.933854,14369.904482,0,3748,1,-1.883554,4.060595,68.007111,0.027051,-0.014834,0.015880
14369.950568,-4.920074,1.314278,59.733639,1.502165,1.375839,59.068245,14369.950567,14369.921163,0,3749,1,-1.926925,3.910983,68.023842,0.044583,-0.021328,0.012879
14369.982040,-4.915148,1.223890,59.681274,1.502195,1.293162,59.024899,14369.982040,14369.937939,0,3750,1,-1.949672,4.093105,67.917747,0.023249,-0.022801,0.016583
