CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
14377.748454118, 14377.748454118, 4217, 14377.748454118, 14377.748454118, 4217, 14377.748454118, 134
14377.765134685, 14377.765134685, 4218, 14377.765134685, 14377.765134685, 4218, 14377.765134685, 135
14377.781815253, 14377.781815253, 4219, 14377.781815253, 14377.781815253, 4219, 14377.781815253, 136
14377.798495820, 14377.798495820, 4220, 14377.798495820, 14377.798495820, 4220, 14377.798495820, 137
14377.815159049, 14377.815159049, 4221, 14377.815159049, 14377.815159049, 4221, 14377.815159049, 138
14377.831832663, 14377.831832663, 4222, 14377.831832663, 14377.831832663, 4222, 14377.831832663, 139
14377.848506277, 14377.848506277, 4223, 14377.848506277, 14377.848506277, 4223, 14377.848506277, 140
14377.865179891, 14377.865179891, 4224, 14377.865179891, 14377.865179891, 4224, 14377.865179891, 141
14377.881853505, 14377.881853505, 4225, 14377.881853505, 14377.881853505, 4225, 14377.881853505, 142
14377.898527119, 14377.898527119, 4226, 14377.898527119, 14377.898527119, 4226, 14377.898527119, 143
14377.915200733, 14377.915200733, 4227, 14377.915200733, 14377.915200733, 4227, 14377.915200733, 144
14377.931874348, 14377.931874348, 4228, 14377.931874348, 14377.931874348, 4228, 14377.931874348, 145
14377.948547962, 14377.948547962, 4229, 14377.948547962, 14377.948547962, 4229, 14377.948547962, 146
14377.965221576, 14377.965221576, 4230, 14377.965221576, 14377.965221576, 4230, 14377.965221576, 147
14377.981895190, 14377.981895190, 4231, 14377.981895190, 14377.981895190, 4231, 14377.981895190, 148
14377.998568804, 14377.998568804, 4232, 14377.998568804, 14377.998568804, 4232, 14377.998568804, 149
14378.015242418, 14378.015242418, 4233, 14378.015242418, 14378.015242418, 4233, 14378.015242418, 150
14378.031916032, 14378.031916032, 4234, 14378.031916032, 14378.031916032, 4234, 14378.031916032, 151
14378.048589646, 14378.048589646, 4235, 14378.048589646, 14378.048589646, 4235, 14378.048589646, 152
14378.065263260, 14378.065263260, 4236, 14378.065263260, 14378.065263260, 4236, 14378.065263260, 153
14378.081936874, 14378.081936874, 4237, 14378.081936874, 14378.081936874, 4237, 14378.081936874, 154
14378.098610488, 14378.098610488, 4238, 14378.098610488, 14378.098610488, 4238, 14378.098610488, 155
14378.115284102, 14378.115284102, 4239, 14378.115284102, 14378.115284102, 4239, 14378.115284102, 156
14378.131957716, 14378.131957716, 4240, 14378.131957716, 14378.131957716, 4240, 14378.131957716, 157
14378.148631330, 14378.148631330, 4241, 14378.148631330, 14378.148631330, 4241, 14378.148631330, 158
14378.165304944, 14378.165304944, 4242, 14378.165304944, 14378.165304944, 4242, 14378.165304944, 159
14378.181978558, 14378.181978558, 4243, 14378.181978558, 14378.181978558, 4243, 14378.181978558, 160
14378.198732257, 14378.198732257, 4244, 14378.198732257, 14378.198732257, 4244, 14378.198732257, 161
14378.215412824, 14378.215412824, 4245, 14378.215412824, 14378.215412824, 4245, 14378.215412824, 162
14378.232093392, 14378.232093392, 4246, 14378.232093392, 14378.232093392, 4246, 14378.232093392, 163
14378.248773959, 14378.248773959, 4247, 14378.248773959, 14378.248773959, 4247, 14378.248773959, 164
14378.265454526, 14378.265454526, 4248, 14378.265454526, 14378.265454526, 4248, 14378.265454526, 165
14378.282135093, 14378.282135093, 4249, 14378.282135093, 14378.282135093, 4249, 14378.282135093, 166
14378.298815660, 14378.298815660, 4250, 14378.298815660, 14378.298815660, 4250, 14378.298815660, 167
14378.315496227, 14378.315496227, 4251, 14378.315496227, 14378.315496227, 4251, 14378.315496227, 168
14378.332176794, 14378.332176794, 4252, 14378.332176794, 14378.332176794, 4252, 14378.332176794, 169
14378.348857362, 14378.348857362, 4253, 14378.348857362, 14378.348857362, 4253, 14378.348857362, 170
14378.365537929, 14378.365537929, 4254, 14378.365537929, 14378.365537929, 4254, 14378.365537929, 171
14378.382218496, 14378.382218496, 4255, 14378.382218496, 14378.382218496, 4255, 14378.382218496, 172
14378.398899063, 14378.398899063, 4256, 14378.398899063, 14378.398899063, 4256, 14378.398899063, 173
14378.415579630, 14378.415579630, 4257, 14378.415579630, 14378.415579630, 4257, 14378.415579630, 174
14378.432260197, 14378.432260197, 4258, 14378.432260197, 14378.432260197, 4258, 14378.432260197, 175
14378.448940764, 14378.448940764, 4259, 14378.448940764, 14378.448940764, 4259, 14378.448940764, 176
14378.465621332, 14378.465621332, 4260, 14378.465621332, 14378.465621332, 4260, 14378.465621332, 177
14378.482301899, 14378.482301899, 4261, 14378.482301899, 14378.482301899, 4261, 14378.482301899, 178
14378.498982466, 14378.498982466, 4262, 14378.498982466, 14378.498982466, 4262, 14378.498982466, 179
14378.515663033, 14378.515663033, 4263, 14378.515663033, 14378.515663033, 4263, 14378.515663033, 180
14378.532343600, 14378.532343600, 4264, 14378.532343600, 14378.532343600, 4264, 14378.532343600, 181
14378.549024167, 14378.549024167, 4265, 14378.549024167, 14378.549024167, 4265, 14378.549024167, 182
14378.565704734, 14378.565704734, 4266, 14378.565704734, 14378.565704734, 4266, 14378.565704734, 183
14378.582385301, 14378.582385301, 4267, 14378.582385301, 14378.582385301, 4267, 14378.582385301, 184
14378.599072195, 14378.599072195, 4268, 14378.599072195, 14378.599072195, 4268, 14378.599072195, 185
14378.615759721, 14378.615759721, 4269, 14378.615759721, 14378.615759721, 4269, 14378.615759721, 186
