CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
14388.157140155, 272.204711914, 253.076477051, 324.606506348, 253.116363525, 344.328186035, 252.091491699, 397.088867188, 253.006195068, -45.419788361, 12.135799408, 592.767761230, 19.499340057, 12.489650726, 590.847961426, 4841
14388.173834646, 272.229919434, 253.038253784, 324.817718506, 253.121368408, 343.974853516, 252.369750977, 396.846862793, 253.242904663, -45.419055939, 12.111551285, 592.506469727, 19.533603668, 12.500519753, 591.152893066, 4842
14388.190529137, 272.012695312, 253.231124878, 324.415832520, 253.563934326, 343.944641113, 252.976776123, 397.111572266, 253.307281494, -45.446598053, 12.147309303, 592.554016113, 19.508977890, 12.535902977, 591.230590820, 4843
14388.207223627, 271.908020020, 253.166015625, 324.258636475, 252.997314453, 344.223693848, 252.517944336, 397.037445068, 253.242050171, -45.457260132, 12.131372452, 592.122863770, 19.423187256, 12.517513275, 590.609924316, 4844
14388.223918118, 272.332641602, 252.805908203, 324.655120850, 253.039550781, 344.277160645, 252.647766113, 396.888793945, 253.078765869, -45.444038391, 12.122138977, 592.159423828, 19.405929565, 12.506321907, 590.547790527, 4845
14388.240612609, 272.391448975, 253.271102905, 324.799499512, 253.084411621, 344.172363281, 252.799041748, 397.014526367, 253.019805908, -45.464717865, 12.153379440, 592.242797852, 19.451269150, 12.501791000, 590.988708496, 4846
14388.257307100, 271.938720703, 253.094329834, 324.813812256, 253.444763184, 343.737304688, 252.468353271, 397.255126953, 252.889434814, -45.499095917, 12.142814636, 592.238708496, 19.482437134, 12.497827530, 591.143066406, 4847
14388.274001591, 272.137268066, 253.223358154, 324.235687256, 253.427215576, 343.628051758, 252.553436279, 396.748046875, 253.060546875, -45.580383301, 12.185954094, 592.959350586, 19.443485260, 12.533077240, 591.260131836, 4848
14388.290696081, 271.932128906, 253.113403320, 324.412780762, 253.244674683, 343.912109375, 252.538208008, 396.929321289, 253.074188232, -45.604927063, 12.165932655, 592.724548340, 19.396009445, 12.535044670, 591.328125000, 4849
14388.307390572, 272.257568359, 253.111907959, 324.423553467, 253.065368652, 343.839447021, 252.346359253, 396.891693115, 253.114715576, -45.631362915, 12.172395706, 592.695739746, 19.373287201, 12.531430244, 591.377136230, 4850
14388.324085063, 272.290161133, 253.033050537, 324.654113770, 253.298385620, 344.151489258, 252.528854370, 396.834320068, 253.031768799, -45.638671875, 12.167449951, 592.871093750, 19.392082214, 12.535407066, 591.870666504, 4851
