CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14388.1571, 69.4570, 44.1771, 569.8856, 0.0358, -0.0274, 0.0136, 69.4570, 44.1771, 569.8856, 0.0358, -0.0274, 0.0136, 4841
14388.1738, 69.4675, 44.5474, 570.3087, 0.0366, -0.0374, 0.0076, 69.4675, 44.5474, 570.3087, 0.0366, -0.0374, 0.0076, 4842
14388.1905, 69.7406, 44.6250, 571.4681, 0.0214, -0.0279, 0.0045, 69.7406, 44.6250, 571.4681, 0.0214, -0.0279, 0.0045, 4843
14388.2072, 69.5562, 44.4323, 570.6357, 0.0346, -0.0338, 0.0083, 69.5562, 44.4323, 570.6357, 0.0346, -0.0338, 0.0083, 4844
14388.2239, 69.9783, 44.7735, 571.9710, 0.0247, -0.0339, 0.0012, 69.9783, 44.7735, 571.9710, 0.0247, -0.0339, 0.0012, 4845
14388.2406, 69.6840, 44.3143, 570.5187, 0.0378, -0.0346, 0.0019, 69.6840, 44.3143, 570.5187, 0.0378, -0.0346, 0.0019, 4846
14388.2573, 69.0904, 44.1050, 568.3508, 0.0488, -0.0286, 0.0064, 69.0904, 44.1050, 568.3508, 0.0488, -0.0286, 0.0064, 4847
14388.2740, 69.3686, 44.4119, 570.7286, 0.0332, -0.0375, 0.0030, 69.3686, 44.4119, 570.7286, 0.0332, -0.0375, 0.0030, 4848
14388.2907, 69.3671, 44.4038, 569.9904, 0.0283, -0.0432, 0.0061, 69.3671, 44.4038, 569.9904, 0.0283, -0.0432, 0.0061, 4849
14388.3074, 68.9829, 44.5836, 570.5763, 0.0208, -0.0361, 0.0158, 68.9829, 44.5836, 570.5763, 0.0208, -0.0361, 0.0158, 4850
14388.3241, 69.4741, 44.4186, 570.7921, 0.0285, -0.0372, 0.0064, 69.4741, 44.4186, 570.7921, 0.0285, -0.0372, 0.0064, 4851
14388.3408, 69.3306, 44.2926, 568.8048, 0.0306, -0.0329, 0.0104, 69.3306, 44.2926, 568.8048, 0.0306, -0.0329, 0.0104, 4852
14388.3575, 69.7222, 44.4417, 570.6804, 0.0328, -0.0448, 0.0062, 69.7222, 44.4417, 570.6804, 0.0328, -0.0448, 0.0062, 4853
14388.3742, 69.5266, 44.3680, 571.3328, 0.0221, -0.0387, 0.0066, 69.5266, 44.3680, 571.3328, 0.0221, -0.0387, 0.0066, 4854
14388.3909, 69.5020, 44.4620, 570.3644, 0.0422, -0.0451, 0.0057, 69.5020, 44.4620, 570.3644, 0.0422, -0.0451, 0.0057, 4855
14388.4075, 69.4692, 44.5925, 571.5065, 0.0360, -0.0365, 0.0108, 69.4692, 44.5925, 571.5065, 0.0360, -0.0365, 0.0108, 4856
