CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
616770.9564, 263.4769, 215.3348, 308.5323, 213.4294, 263.4769, 215.3348, 308.5323, 213.4294, -252.9756, -3.2380, 1577.3545, -105.9941, -8.9557, 1544.2872, 1734
616770.9731, 263.2948, 215.3884, 308.3006, 213.4624, 263.2948, 215.3884, 308.3006, 213.4624, -253.5837, -3.0662, 1577.5253, -106.7368, -8.8523, 1544.4290, 1735
616770.9897, 263.4468, 215.3069, 308.7628, 213.8794, 263.4468, 215.3069, 308.7628, 213.8794, -253.0752, -3.3289, 1577.3744, -105.2613, -7.5208, 1544.2512, 1736
616771.0064, 263.6797, 215.5354, 309.0292, 213.8280, 263.6797, 215.5354, 309.0292, 213.8280, -252.3063, -2.5863, 1577.2235, -104.4073, -7.6825, 1544.0861, 1737
616771.0231, 263.5581, 215.5754, 309.0937, 213.5501, 263.5581, 215.5754, 309.0937, 213.5501, -252.7123, -2.4578, 1577.3384, -104.1977, -8.5669, 1543.9886, 1738
616771.0398, 263.6697, 215.5939, 309.2933, 213.8264, 263.6697, 215.5939, 309.2933, 213.8264, -252.3414, -2.3968, 1577.2455, -103.5619, -7.6858, 1543.9336, 1739
616771.0564, 263.8613, 215.6093, 309.0356, 213.7438, 263.8613, 215.6093, 309.0356, 213.7438, -251.7038, -2.3451, 1577.0825, -104.3859, -7.9506, 1544.0641, 1740
616771.0731, 263.7936, 215.4996, 309.3544, 213.8395, 263.7936, 215.4996, 309.3544, 213.8395, -251.9261, -2.7012, 1577.1165, -103.3663, -7.6436, 1543.9012, 1741
616771.0898, 264.0410, 215.5177, 309.1412, 213.8493, 264.0410, 215.5177, 309.1412, 213.8493, -251.1031, -2.6404, 1576.9059, -104.0490, -7.6138, 1544.0261, 1742
616771.1064, 263.9830, 215.5659, 308.9881, 213.8642, 263.9830, 215.5659, 308.9881, 213.8642, -251.2975, -2.4848, 1576.9670, -104.5396, -7.5677, 1544.1177, 1743
616771.1231, 263.7961, 215.6334, 309.4001, 213.8468, 263.7961, 215.6334, 309.4001, 213.8468, -251.9215, -2.2677, 1577.1447, -103.2202, -7.6199, 1543.8766, 1744
616771.1398, 263.8866, 215.5630, 309.0956, 213.8379, 263.8866, 215.5630, 309.0956, 213.8379, -251.6185, -2.4949, 1577.0500, -104.1951, -7.6506, 1544.0499, 1745
616771.1564, 263.7027, 215.2046, 309.4464, 213.6238, 263.7027, 215.2046, 309.4464, 213.6238, -252.2200, -3.6579, 1577.1287, -103.0695, -8.3293, 1543.8016, 1746
616771.1731, 263.7930, 215.3458, 308.9094, 213.5581, 263.7930, 215.3458, 308.9094, 213.5581, -251.9237, -3.1995, 1577.0822, -104.7881, -8.5427, 1544.0968, 1747
