CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
616770.9564, -77.2212, 39.0852, 672.7979, 0.1903, 0.0368, -0.0126, -54.4911, 35.6655, 666.1251, 0.1935, 0.0688, -0.0159, 1734
616770.9731, -77.5208, 39.1941, 672.5795, 0.1709, 0.0494, -0.0150, -54.7943, 35.7760, 665.8745, 0.1740, 0.0815, -0.0179, 1735
616770.9897, -77.2906, 39.4058, 671.0549, 0.1671, 0.0513, -0.0054, -54.6157, 35.9947, 664.3771, 0.1704, 0.0834, -0.0082, 1736
616771.0064, -76.5821, 39.4775, 668.1743, 0.1660, 0.0604, -0.0080, -54.0069, 36.0805, 661.5341, 0.1693, 0.0925, -0.0108, 1737
616771.0231, -76.1041, 39.2778, 666.2012, 0.1859, 0.0603, -0.0134, -53.5992, 35.8914, 659.5942, 0.1891, 0.0924, -0.0166, 1738
616771.0398, -75.9140, 39.5215, 664.7306, 0.1669, 0.0659, -0.0111, -53.4572, 36.1422, 658.1248, 0.1701, 0.0980, -0.0139, 1739
616771.0564, -76.3271, 39.5142, 668.8489, 0.1712, 0.0620, -0.0124, -53.7313, 36.1136, 662.2075, 0.1745, 0.0941, -0.0153, 1740
616771.0731, -76.0466, 39.4777, 666.3401, 0.1632, 0.0530, -0.0085, -53.5348, 36.0896, 659.7277, 0.1665, 0.0851, -0.0113, 1741
616771.0898, -76.4761, 39.5518, 670.2608, 0.1566, 0.0602, -0.0092, -53.8310, 36.1435, 663.6037, 0.1599, 0.0923, -0.0119, 1742
616771.1064, -76.6397, 39.5433, 670.9906, 0.1711, 0.0614, -0.0091, -53.9710, 36.1316, 664.3325, 0.1744, 0.0934, -0.0120, 1743
616771.1231, -76.0668, 39.5743, 667.6028, 0.1749, 0.0527, -0.0100, -53.5134, 36.1797, 660.9843, 0.1782, 0.0848, -0.0130, 1744
