timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, usedInterpolatedTime, mostRecentObservationTime, resetFilter, sentEyePairCounter, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
616770.944169,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.963778,616770.902352,0,6674,1,12.097095,12.021000,165.194229,-0.037736,-0.136536,-0.035225
616770.944511,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.964176,616770.902352,0,6675,1,12.098950,12.020079,165.194382,-0.036389,-0.136983,-0.035344
616770.951453,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.971101,616770.902352,0,6676,1,12.131876,12.003506,165.196960,-0.012048,-0.144992,-0.037446
616770.954222,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.973754,616770.902352,0,6677,1,12.144837,11.996876,165.197968,-0.002253,-0.148177,-0.038268
616770.962233,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.981730,616770.919026,0,6678,1,12.282248,11.905295,165.153748,0.006999,0.046712,-0.016444
616770.962589,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.982261,616770.919026,0,6679,1,12.285686,11.903420,165.153763,0.008980,0.048016,-0.016488
616770.967172,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616770.986736,616770.919026,0,6680,1,12.315056,11.887317,165.153854,0.026067,0.059280,-0.016861
616770.989537,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.009157,616770.919026,0,6681,1,12.473002,11.798603,165.154480,0.122185,0.123043,-0.018831
616770.989975,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.009605,616770.919026,0,6682,1,12.476338,11.796695,165.154510,0.124283,0.124441,-0.018872
616770.995069,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.014650,616770.935700,0,6683,1,12.127763,12.601645,165.166351,-0.412586,0.136576,-0.017134
616771.003822,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.020657,616770.935700,0,6684,1,12.150297,12.631866,165.165985,-0.435068,0.155515,-0.017488
616771.004206,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.023850,616770.935700,0,6685,1,12.162517,12.648257,165.165771,-0.447445,0.165907,-0.017677
616771.009011,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.028612,616770.952373,0,6686,1,11.896881,12.071786,165.153549,-0.005997,-0.222179,-0.009711
616771.017958,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.037582,616770.952373,0,6687,1,11.908820,12.060828,165.153656,0.020720,-0.247545,-0.009033
616771.018340,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.037969,616770.952373,0,6688,1,11.909345,12.060336,165.153656,0.021916,-0.248685,-0.009002
616771.022991,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.042573,616770.969047,0,6689,1,11.545727,11.598045,165.154297,0.063188,-0.283233,0.014216
616771.031002,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.050567,616770.969047,0,6690,1,11.523002,11.552240,165.154648,0.095581,-0.313210,0.016972
616771.031363,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.051012,616770.969047,0,6691,1,11.521706,11.549635,165.154663,0.097443,-0.314936,0.017130
616771.035978,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.055541,616770.985720,0,6692,1,11.534928,11.613910,165.061096,-0.337841,-0.080840,0.010601
616771.044957,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.064513,616771.002394,0,6693,1,10.935143,11.906957,165.144531,-0.441372,-0.083947,0.001769
616771.045344,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.064968,616771.002394,0,6694,1,10.930832,11.906092,165.144501,-0.443559,-0.083884,0.001842
616771.049916,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.069495,616771.002394,0,6695,1,10.887392,11.897388,165.144073,-0.465775,-0.083215,0.002584
616771.054919,0.000000,10.000000,60.000000,0.000000,10.000000,60.000000,616771.074487,616771.002394,0,6696,1,10.838271,11.887575,165.143585,-0.491277,-0.082391,0.003426
